year,cowID,herd,milkAUC,cowage,calvedate,nextcalvedate,preg,first21,precalveBW,precalveBCS,prebreedBW,prebreedBCS,breedBW,breedBCS,weanBW,weanBCS,prebreedBWchange,breedBWchange,weanBWchange,sire,calfbirth,calf30,calf60,calf90,calf120,calfwean,calfsex,qualitygrade,yieldgrade,livewt,hcw,rea,marb,bf,firstd,cdate,seasonyr,cowagen
2020,5723,May,1037.144251,5,130,132,1,1,467.653352,5,481.714704,6,503.940712,6,491.240136,6,14.061352,36.28736,23.586784,7071E,32.205032,92.079176,115.212368,143.335072,179.622432,205.477176,heifer,.,.,.,.,.,.,.,124,7,May2020,5
2020,5729,May,899.8666271,5,138,140,1,1,450.870448,4.5,537.50652,5.5,541.588848,5.375,414.129496,6,86.636072,90.7184,-36.740952,D026,37.648136,95.707912,119.748288,148.324584,180.076024,210.013096,heifer,.,.,.,.,.,.,.,124,15,May2020,5
2020,5730,May,1021.992297,5,134,137,1,1,510.744592,5,456.313552,5.5,488.064992,5.25,529.795456,6,-54.43104,-22.6796,19.050864,7071E,40.82328,95.25432,122.46984,150.592544,185.97272,222.26008,steer,1,2.45,742.9746031746032,468.074,107.13526960000002,725,1.05664,124,11,May2020,5
2020,5736,May,847.2061095,5,139,.,0,.,567.897184,5,576.06184,6,554.743016,5.75,577.422616,6,8.164656,-13.154168,9.525432,D026,34.926584,77.11064,101.604608,124.7378,156.035648,180.529616,heifer,.,.,.,.,.,.,.,124,16,May2020,5
2020,5758,May,1029.583738,5,132,144,1,1,526.620312,5.25,555.6502,6,565.175632,5.875,528.43468,5.75,29.029888,38.55532,1.814368,C171,39.462504,90.7184,111.583632,142.88148,174.179328,209.105912,steer,1,2.23,678.8380952380952,427.668,113.1997736,481,1.4224,124,9,May2020,5
2020,5761,May,923.9665788,5,143,155,1,0,457.220736,5,516.641288,5.5,508.930224,5.875,488.518584,5,59.420552,51.709488,31.297848,7071E,37.194544,80.739376,102.511792,132.902456,172.818552,206.38436,steer,1,2.57,684.6031746031746,431.3,104.4643072,532,1.3284200000000002,124,20,May2020,5
2020,5770,May,902.2410075,5,138,131,1,1,506.662264,5,562.907672,6,566.082816,6,535.692152,5.5,56.245408,59.420552,29.029888,7071E,35.380176,86.636072,112.037224,136.0776,171.457776,200.487664,heifer,.,.,.,.,.,.,.,124,15,May2020,5
2020,5795,May,878.9060256,5,136,145,1,1,497.590424,4.5,523.445168,5.875,538.867296,5.75,503.033528,5.5,25.854744,41.276872,5.443104,C171,39.462504,94.800728,120.655472,151.046136,184.611944,215.4562,steer,1,2.15,717.752380952381,452.184,111.2771968,489,1.08204,124,13,May2020,5
2020,6601,May,774.5535658,4,143,148,1,1,362.420008,5,384.192424,5,386.913976,5,366.955928,4.75,21.772416,24.493968,4.53592,7071E,29.937072,69.399576,92.079176,121.562656,150.592544,183.70476,steer,1,1.55,606.7746031746033,382.268,106.322368,516,.7874,124,20,May2020,4
2020,6751,May,1024.026998,4,135,126,1,1,441.345016,5,459.942288,6,472.189272,5.75,425.015704,5,18.597272,30.844256,-16.329312,D026,32.205032,83.460928,106.140528,131.995272,163.746712,198.219704,heifer,.,.,.,.,.,.,.,124,12,May2020,4
2020,6760,May,900.7913683,4,125,135,1,1,457.220736,5,486.250624,6,503.940712,5.75,459.035104,5,29.029888,46.719976,1.814368,7162E,35.833768,51.255896,74.84268,100.243832,133.80964,171.911368,steer,1,1.41,559.2126984126986,352.30400000000003,96.999806,467,.41402,124,2,May2020,4
2020,6780,May,873.7485947,4,144,156,1,0,446.334528,5,481.261112,5,501.672752,5.25,464.478208,5.25,34.926584,55.338224,18.14368,7060E,40.369688,85.275296,110.222856,141.067112,175.540104,209.559504,steer,1,1.8,657.2190476190476,414.048,108.4901056,429,.92456,124,21,May2020,4
2020,6791,May,490.6927997,4,132,.,0,.,441.345016,5,477.632376,5.75,497.136832,5.5,480.80752,6,36.28736,55.791816,39.462504,D026,38.55532,67.131616,83.91452,102.965384,125.191392,146.510216,steer,1,2.32,585.1555555555556,368.648,87.8643404,417,.7747,124,9,May2020,4
2021,5001,March,1151.747199,6,72,.,1,.,530.70264,4.75,465.838984,5.375,542.04244,5.75,501.21916,5,-64.863656,11.3398,-29.48348,7092E,33.112216,72.57472,101.604608,136.531192,179.622432,276.69112,heifer,.,.,.,.,.,.,.,71,2,March2021,6
2021,5023,March,1403.048506,6,86,.,1,.,508.02304,5,433.633952,5,514.82692,5.75,474.00364,5,-74.389088,6.80388,-34.0194,C171,35.380176,63.956472,89.811216,125.644984,168.736224,277.598304,steer,.,.,.,.,.,.,.,71,16,March2021,6
2021,5204,March,1268.354362,6,74,.,1,.,489.87936,4.75,427.283664,5.125,532.9706,5.75,496.68324,6,-62.595696,43.09124,6.80388,7071E,29.029888,65.317248,94.347136,129.27372,169.189816,263.08336,heifer,.,.,.,.,.,.,.,71,4,March2021,6
2021,5250,March,1108.844199,6,71,.,1,.,505.75508,4.5,421.386968,5,501.21916,5.75,485.34344,5.5,-84.368112,-4.53592,-20.41164,7071E,36.28736,68.492392,94.347136,127.912944,162.839528,257.640256,heifer,.,.,.,.,.,.,.,71,1,March2021,6
2021,6016,March,1207.071815,5,75,.,1,.,505.75508,5,441.345016,5.75,494.41528,5.875,483.07548,6,-64.410064,-11.3398,-22.6796,9126G,33.565808,59.874144,92.98636,132.902456,175.086512,279.412672,heifer,.,.,.,.,.,.,.,71,5,March2021,5
2021,6076,March,1156.330746,5,72,.,1,.,557.91816,5,474.910824,4.875,562.45408,5.625,530.70264,5.5,-83.007336,4.53592,-27.21552,8040F,35.833768,72.121128,99.336648,136.0776,179.16884,293.927616,steer,.,.,.,.,.,.,.,71,2,March2021,5
2021,6117,March,971.3151049,5,73,.,1,.,407.325616,4.5,338.379632,4.25,421.84056,5.25,400.068144,5,-68.945984,14.514944,-7.257472,9126G,32.205032,54.884632,79.3786,107.501304,146.510216,238.589392,heifer,.,.,.,.,.,.,.,71,3,March2021,5
2021,6122,March,1075.548279,5,76,.,1,.,464.9318,5,422.294152,5.5,489.87936,5.875,494.41528,6,-42.637648,24.94756,29.48348,7092E,29.937072,59.874144,87.543256,125.644984,170.097,246.754048,steer,.,.,.,.,.,.,.,71,6,March2021,5
2021,6164,March,1081.376936,5,80,.,1,.,498.9512,4.25,439.530648,4.75,514.82692,5.625,503.48712,5.25,-59.420552,15.87572,4.53592,7092E,32.658624,56.699,83.460928,113.851592,157.850016,288.484512,steer,.,.,.,.,.,.,.,71,10,March2021,5
2021,6179,March,1300.180645,5,79,.,1,.,503.48712,5.5,454.045592,5.875,512.55896,5.875,512.55896,6,-49.441528,9.07184,9.07184,7071E,26.761928,79.3786,106.59412,138.34556,179.622432,262.176176,steer,.,.,.,.,.,.,.,71,9,March2021,5
2021,6254,March,748.9144114,5,76,.,1,.,542.04244,6,443.612976,5.5,532.9706,5.875,512.55896,6,-98.429464,-9.07184,-29.48348,7092E,44.905608,66.678024,98.429464,136.531192,176.447288,285.76296,steer,.,.,.,.,.,.,.,71,6,March2021,5
2021,6311,March,1040.109136,5,80,.,1,.,503.48712,5.25,433.633952,5.25,514.82692,5.5,492.14732,5.5,-69.853168,11.3398,-11.3398,7071E,36.28736,68.0388,93.439952,134.263232,178.715248,272.1552,heifer,.,.,.,.,.,.,.,71,10,March2021,5
2021,6336,March,1169.471306,5,78,.,1,.,566.99,5.75,503.940712,5.75,580.59776,6,532.9706,6,-63.049288,13.60776,-34.0194,9126G,32.658624,55.791816,78.017824,109.315672,146.056624,286.670144,steer,.,.,.,.,.,.,.,71,8,March2021,5
2021,7102,March,847.3597511,4,73,.,1,.,480.80752,5.25,413.675904,5.125,478.53956,5.75,474.00364,5.5,-67.131616,-2.26796,-6.80388,.,29.937072,51.255896,77.11064,108.86208,144.695848,244.93968,steer,.,.,.,.,.,.,.,71,3,March2021,4
2021,7123,March,1547.571989,4,83,.,1,.,464.9318,5.75,394.62504,5.375,448.148896,5.875,414.583088,5.25,-70.30676,-16.782904,-50.348712,9227G,28.122704,50.802304,75.749864,109.315672,144.242256,238.589392,heifer,.,.,.,.,.,.,.,71,13,March2021,4
2021,7135,March,1155.645822,4,80,.,1,.,467.19976,5,417.758232,5.625,458.12792,5.75,455.85996,6,-49.441528,-9.07184,-11.3398,9227G,26.308336,71.213944,95.25432,141.067112,191.415824,241.310944,steer,.,.,.,.,.,.,.,71,10,March2021,4
2021,7140,March,1539.2894,4,81,.,1,.,492.14732,5.25,398.253776,5.5,467.19976,5.25,458.12792,5,-93.893544,-24.94756,-34.0194,9052G,39.462504,62.142104,89.811216,125.191392,159.210792,302.999456,heifer,.,.,.,.,.,.,.,71,11,March2021,4
2021,7142,March,1169.475842,4,87,.,1,.,514.82692,5.75,415.490272,5,467.19976,5.25,452.684816,4.75,-99.336648,-47.62716,-62.142104,9227G,33.112216,63.956472,90.7184,129.727312,170.097,252.197152,steer,.,.,.,.,.,.,.,71,17,March2021,4
2021,7157,March,1244.184712,4,87,.,1,.,489.87936,4.75,393.264264,4.75,432.726768,5.375,437.262688,4.5,-96.615096,-57.152592,-52.616672,9052G,36.28736,72.57472,93.439952,130.634496,175.540104,270.340832,steer,.,.,.,.,.,.,.,71,17,March2021,4
2021,7166,March,1280.812266,4,79,.,1,.,489.87936,5.5,418.211824,4.875,471.73568,5.25,437.262688,5,-71.667536,-18.14368,-52.616672,7162E,34.472992,63.956472,89.811216,125.644984,170.097,270.340832,heifer,.,.,.,.,.,.,.,71,9,March2021,4
2021,7170,March,1331.253965,4,88,.,0,.,441.798608,5.25,367.40952,4.75,411.861536,5,400.068144,5,-74.389088,-29.937072,-41.730464,7060E,36.740952,62.142104,93.893544,127.459352,170.550592,275.783936,heifer,.,.,.,.,.,.,.,71,18,March2021,4
2021,7190,March,1145.748444,4,89,.,0,.,478.53956,5,382.831648,4.75,441.798608,4.875,393.717856,4.5,-95.707912,-36.740952,-84.821704,7162E,38.55532,63.049288,86.636072,120.20188,157.396424,274.876752,steer,.,.,.,.,.,.,.,71,19,March2021,4
2021,7220,March,1165.658865,4,84,.,1,.,471.73568,5,403.243288,6,467.19976,5.875,437.262688,5.5,-68.492392,-4.53592,-34.472992,7162E,34.472992,63.50288,85.728888,121.562656,158.303608,239.496576,steer,.,.,.,.,.,.,.,71,14,March2021,4
2021,7230,March,1022.287506,4,87,.,1,.,560.18612,5.75,479.900336,5.375,548.84632,6,551.11428,6,-80.285784,-11.3398,-9.07184,7060E,44.905608,58.96696,80.739376,113.851592,141.974296,256.733072,steer,.,.,.,.,.,.,.,71,17,March2021,4
2021,7266,March,776.8375349,4,80,.,1,.,489.87936,5,438.169872,6,498.9512,5.875,496.68324,6,-51.709488,9.07184,6.80388,9052G,31.75144,49.441528,68.0388,89.357624,120.20188,212.734648,heifer,.,.,.,.,.,.,.,71,10,March2021,4
2021,7298,March,1069.12088,4,79,.,1,.,446.334528,4.5,389.181936,4.5,432.726768,5.125,429.098032,5,-57.152592,-13.60776,-17.236496,9227G,29.029888,56.245408,85.728888,118.387512,157.850016,241.310944,heifer,.,.,.,.,.,.,.,71,9,March2021,4
2021,7317,March,1257.125692,4,78,.,1,.,480.80752,5.5,371.94544,5.125,425.469296,5.5,410.954352,4.75,-108.86208,-55.338224,-69.853168,7162E,34.472992,68.492392,95.25432,131.088088,166.921856,257.640256,steer,.,.,.,.,.,.,.,71,8,March2021,4
2021,7318,March,1109.730972,4,88,.,1,.,494.41528,5,418.211824,5.125,483.07548,5.5,474.00364,5.25,-76.203456,-11.3398,-20.41164,7060E,34.0194,58.96696,79.3786,107.954896,150.592544,265.804912,heifer,.,.,.,.,.,.,.,71,18,March2021,4
2021,7331,March,1156.178792,4,91,.,1,.,420.026192,4.75,352.894576,4.75,419.119008,5.5,394.62504,4.75,-67.131616,-0.907184,-25.401152,9052G,36.28736,54.884632,72.57472,109.315672,151.95332,249.4756,heifer,.,.,.,.,.,.,.,71,21,March2021,4
2021,5612,May,1111.391118,6,149,.,0,.,487.6114,5.25,522.084392,6,508.02304,5.75,519.36284,5.5,34.472992,20.41164,31.75144,8040F,43.544832,87.996848,117.480328,146.510216,185.065536,238.589392,steer,.,.,.,.,.,.,.,126,24,May2021,6
2021,5713,May,1079.281341,6,138,.,1,.,523.89876,6,554.743016,6,576.06184,6,580.59776,6,30.844256,52.16308,56.699,8040F,29.937072,81.192968,108.408488,131.088088,169.189816,215.4562,heifer,.,.,.,.,.,.,.,126,13,May2021,6
2021,5723,May,1122.594841,6,132,.,1,.,487.6114,6,493.961688,6.125,505.75508,6,483.07548,5,6.350288,18.14368,-4.53592,8040F,33.565808,96.615096,125.191392,153.314096,190.055048,242.218128,heifer,.,.,.,.,.,.,.,126,7,May2021,6
2021,5729,May,977.8944569,6,140,.,1,.,505.75508,5.25,539.77448,6,546.57836,6,544.3104,6,34.0194,40.82328,38.55532,8040F,36.740952,89.357624,112.037224,132.902456,162.385936,215.002608,heifer,.,.,.,.,.,.,.,126,15,May2021,6
2021,5748,May,1313.622844,6,146,.,1,.,501.21916,6,527.527496,5.75,526.16672,5.75,532.9706,5,26.308336,24.94756,31.75144,7071E,44.905608,98.883056,134.716824,169.189816,213.641832,260.361808,steer,.,.,.,.,.,.,.,126,21,May2021,6
