"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
5723,"May2020",1037.144251,5,7,"heifer","prebreed",6,481.714704
5729,"May2020",899.8666271,5,15,"heifer","prebreed",5.5,537.50652
5730,"May2020",1021.992297,5,11,"steer","prebreed",5.5,456.313552
5736,"May2020",847.2061095,5,16,"heifer","prebreed",6,576.06184
5758,"May2020",1029.583738,5,9,"steer","prebreed",6,555.6502
5761,"May2020",923.9665788,5,20,"steer","prebreed",5.5,516.641288
5770,"May2020",902.2410075,5,15,"heifer","prebreed",6,562.907672
5795,"May2020",878.9060256,5,13,"steer","prebreed",5.875,523.445168
6601,"May2020",774.5535658,4,20,"steer","prebreed",5,384.192424
6751,"May2020",1024.026998,4,12,"heifer","prebreed",6,459.942288
6760,"May2020",900.7913683,4,2,"steer","prebreed",6,486.250624
6780,"May2020",873.7485947,4,21,"steer","prebreed",5,481.261112
6791,"May2020",490.6927997,4,9,"steer","prebreed",5.75,477.632376
5001,"March2021",1151.747199,6,2,"heifer","prebreed",5.375,465.838984
5023,"March2021",1403.048506,6,16,"steer","prebreed",5,433.633952
5204,"March2021",1268.354362,6,4,"heifer","prebreed",5.125,427.283664
5250,"March2021",1108.844199,6,1,"heifer","prebreed",5,421.386968
6016,"March2021",1207.071815,5,5,"heifer","prebreed",5.75,441.345016
6076,"March2021",1156.330746,5,2,"steer","prebreed",4.875,474.910824
6117,"March2021",971.3151049,5,3,"heifer","prebreed",4.25,338.379632
6122,"March2021",1075.548279,5,6,"steer","prebreed",5.5,422.294152
6164,"March2021",1081.376936,5,10,"steer","prebreed",4.75,439.530648
6179,"March2021",1300.180645,5,9,"steer","prebreed",5.875,454.045592
6254,"March2021",748.9144114,5,6,"steer","prebreed",5.5,443.612976
6311,"March2021",1040.109136,5,10,"heifer","prebreed",5.25,433.633952
6336,"March2021",1169.471306,5,8,"steer","prebreed",5.75,503.940712
7102,"March2021",847.3597511,4,3,"steer","prebreed",5.125,413.675904
7123,"March2021",1547.571989,4,13,"heifer","prebreed",5.375,394.62504
7135,"March2021",1155.645822,4,10,"steer","prebreed",5.625,417.758232
7140,"March2021",1539.2894,4,11,"heifer","prebreed",5.5,398.253776
7142,"March2021",1169.475842,4,17,"steer","prebreed",5,415.490272
